mac,org,venue,ap_cnt,dups,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,506138,-66,-59,433.3,433.3,1642890,166984758,1762387,269415906,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,31503,-42,-52,48.0,780.0,838485,84131194,7692694,11486112002,,CAN_STEER,3,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,1,0,True,5G,plume.dogfood,25824,-46,-54,286.7,1200.9,119811,97375571,512014,651069073,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,506727,-40,-40,72.2,72.2,66823,17273199,43134,3161798,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,1,0,True,2G,plume.dogfood,494602,-18,-24,57.8,57.8,101465,9168149,56595,6747597,,MAX_REACHED,1,True,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,832773,-52,-51,866.7,780.0,371904,74023930,543584,211288412,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,1,0,True,5G,Household,828612,-63,-69,960.7,1200.9,21518292,10686803572,34892613,24067550767,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
1e:bc:bf:ce:08:27,Shasta NorthEast,Shasta HQ,37,0,True,5G,Household,31,-82,-78,626.9,12.0,55,5288,55,17557,,MAX_REACHED,3,True,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,37,0,True,2G,Household,1355,-74,-74,11.0,43.3,33,2421,18,1864,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,False,False,False,False,False,False
70:a7:41:0f:57:9f,Shasta NorthEast,Stable,1,0,True,2G,430 Dandy,832392,-67,-64,65.0,72.2,234007313,299182393360,125687689,8338329822,,CAN_STEER,3,True,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,False,True
