mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
1c:12:b0:11:b9:b7,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,581294,-66,-60,433.3,433.3,1886123,191515483,2023094,308662320,,CAN_STEER,3,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
84:ea:ed:a6:06:a2,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,106659,-50,-50,866.7,585.1,1654345,170285748,14625776,21788725632,,CAN_STEER,3,True,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
a6:2a:ce:7a:06:2a,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,plume.dogfood,15665,-47,-52,286.7,413.0,132922,108753452,649689,812978678,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
10:27:f5:bc:04:6b,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,581883,-42,-39,72.2,72.2,75229,19693060,48539,3537282,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
00:1c:c2:5b:a5:05,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,569758,-26,-25,57.8,72.2,116840,10553321,65214,7777467,,MAX_REACHED,1,True,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
94:3c:c6:64:2e:2c,Ducky's Legal Services,Ducky's San Ramon,04b6be13a188,SR-AP-01-Mstr,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,2G,plume.dogfood,63895,-54,-57,52.0,65.0,14945,721642,7176,1160972,,BACKOFF,1,True,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,False
c8:69:cd:7d:9e:c4,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,907965,-52,-50,866.7,6.0,418578,82508466,624528,259936221,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
a4:cf:99:74:fc:f1,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,903804,-60,-66,258.0,12.0,26969770,13688533047,42745471,28272232913,,CAN_STEER,3,True,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
06:4e:65:6c:f6:7a,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,5G,Household,23609,-64,-70,960.7,960.7,17064,3055066,256210,311041646,,CAN_STEER,3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
66:1c:c3:c9:fc:5e,Shasta NorthEast,Shasta HQ,14448f1fbe0a,NewTedOfficeAP,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,True,2G,Household,56379,-69,-69,72.2,58.5,13175,2719386,14359,8834529,,MAX_REACHED,1,True,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,False
