mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be13a188,SR-AP-01-Mstr,Ducky's Legal Services,Ducky's San Ramon,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,585029,6.77,2,0.066896,0.047852,0.011231,16.83,83.17,2,7,6,6,20,149,80,1,160,auto,auto,1,20,80,160,24.317272,1,2500,full
14448f1fbe0a,NewTedOfficeAP,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908645,10.52,2,0.050294,0.062013,0.009766,21.74,78.26,1,2,5,6,20,132,80,0,0,auto,auto,unknown,20,80,unknown,45.317272,1,1000,full
14448f1fbe16,HQ-EAP102,Intello Labs,VXLanLab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,684062,7.92,2,0.035645,0.028809,0.000977,29.98,70.02,3,4,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,41.317272,1,1000,full
14448f1fbe2a,Dandy Back Porch,Shasta NorthEast,Stable,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908447,10.51,2,0.042481,0.039551,0.001465,30.55,69.45,1,4,1,1,20,132,80,0,0,auto,auto,unknown,20,80,unknown,0.317272,1,1000,full
14448f1fbe3a,DC-AP-01-e102,Ducky's Legal Services,Ducky's Canada,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,582786,6.75,2,0.001465,0.020996,0,20.19,79.81,2,2,0,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-6.682728,1,2500,full
14448f1fbe4a,Duffy Barn AP,Duffy LLC,Duffy Barn,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,153918,1.78,2,0.083497,0.029786,0.005371,20.36,79.64,1,2,1,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,35.317272,1,2500,full
14448f1fbe4e,Tuttle Basement EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908689,10.52,2,0.035645,0.033692,0.000488,25.55,74.45,1,2,8,11,20,149,80,0,0,auto,auto,unknown,20,80,unknown,2.317272,1,1000,full
14448f1fbe76,AtticAP,Tim,TRaceHome,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,153441,1.78,3,0.109865,0.073732,0.023438,20.73,79.27,2,4,16,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,0.317272,1,1000,full
14448f1fbf2a,Tuttle Living Room EAP 102,Shasta NorthEast,Shasta HQ,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908704,10.52,3,0.050782,0.062013,0.07715,25.62,74.38,1,2,5,1,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-13.682728,1,1000,full
14448f1fbf8e,Dandy 2nd floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908457,10.51,2,0.046876,0.028321,0.002441,30.64,69.36,1,4,4,6,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-7.682728,1,1000,full
