mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
64:16:66:3b:b8:df,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,1274882,-68,-66,72.2,28.9,46906,20103387,53755,12784596,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:46:5a:e8:7e:02,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,82360,-64,-74,432.3,12.0,8620,1857842,6539,3996511,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c6:4b:88:bc:b8:64,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,5231,-68,-75,36.0,432.3,8185,1288395,25961,32547739,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:e0:15:56,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Martin_PSK,2405,-71,-71,81.0,60.0,1001,119180,846,100515,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
10:52:1c:41:58:40,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,1301767,-57,-51,48.0,57.8,405706,75076864,401723,116806428,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
38:f7:3d:a5:04:5b,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,392916,-50,-50,65.0,1.0,168239,38083023,166021,56514088,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:67:05,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,233398,-53,-52,65.0,65.0,18817,3349245,17842,1813122,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c8:f1:9e,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,233335,-41,-40,65.0,65.0,18703,3322057,17732,1814155,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:5a:e8,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,36670,-53,-52,65.0,65.0,2716,469482,2584,245454,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
18:b4:30:69:54:fd,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,26076,-65,-61,52.0,28.9,53345,8540851,51691,3733152,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
64:16:66:c9:03:7a,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,6709,-56,-55,65.0,65.0,513,91429,486,46383,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
30:45:11:4a:8f:38,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,4923,-73,-68,72.2,65.0,455,36271,251,43067,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a2:b8:5c:d7:8c:70,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin_PSK,34,-72,-77,72.2,1.0,9,842,6,1013,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a2:b8:5c:d7:8c:70,Steve Martin,Steve's house,903cb36ae435,EAP-101Prod,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,2G,2 GHz,42,-78,-81,11.0,1.0,11,898,7,1073,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
c8:df:84:60:bb:48,Steve Martin,Steve's house,04b6be139cc8,WF-196Prod,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Martin Guest,437744,-69,-75,11.0,28.9,586356,26287190,302902,66582727,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3c:22:fb:95:9f:63,Temple Buildings,Temple Rochester,903cb32d3530,AP0403,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Temple Building WiFi,3465,-58,-60,117.0,144.4,2305,773628,2077,572665,D-1412,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
3c:22:fb:95:9f:63,Temple Buildings,Temple Rochester,d4babaa1f6d0,AP0404,cig_wf186w,Shasta-AP-NOS Rel 2.1 build 21,True,5G,Temple Building WiFi,4129,-74,-76,65.0,180.0,41384,3279751,647668,964332676,D-1412,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
ca:8c:c8:03:03:a8,Temple Buildings,Temple Rochester,903cb32d3530,AP0403,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,True,2G,Temple Building WiFi,2951,-64,-59,39.0,65.0,406,61562,409,188659,D-1412,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
