mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,4713456,54.55,2,0.009766,0.021485,0,36.95,63.05,1,7,14,6,40,149,80,5,160,auto,auto,5,40,80,160,1.899138,1,2500,full
903cb32d3486,AP0407,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,3972534,45.98,19,0.69044,0.645029,0.692882,57.08,42.92,2,2,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-15.100862,1,1000,full
903cb32d3530,AP0403,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4558523,52.76,2,0,0.010742,0,25.12,74.88,2,2,2,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,14.899138,1,1000,full
903cb32d3788,AP0815,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4301079,49.78,1,0,0,0,19.88,80.12,2,2,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-1.100862,1,1000,full
903cb352a00b,AP1205,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4222299,48.87,1,0.039063,0.027832,0,19.11,80.89,2,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-25.100862,1,1000,full
903cb36ae435,EAP-101Prod,Steve Martin,Steve's house,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,3916594,45.33,1,0.042481,0.030274,0.001465,46.68,53.32,1,6,2,1,40,36,80,0,0,auto,auto,unknown,40,80,unknown,-37.100862,1,1000,full
903cb36c44cd,AP0405,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,112222,1.3,1,0,0,0,17.76,82.24,2,2,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-8.100862,1,1000,full
903cb36c459a,AP1200,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4221625,48.86,1,0.016602,0.008301,0,22.74,77.26,2,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-46.100862,1,1000,full
903cb36c4766,AP1207,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4222310,48.87,1,0.005859,0.021973,0,18.57,81.43,2,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-30.100862,1,1000,full
903cb36c478e,AP0203,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4120509,47.69,2,0.00293,0.021485,0,22.05,77.95,2,2,1,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-30.100862,1,1000,full
903cb39d6960,EAP-102Prod,Steve Martin,Steve's house,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 21,3916606,45.33,2,0.096681,0.044434,0.006348,52.87,47.13,1,6,2,11,40,36,80,0,0,auto,auto,unknown,40,80,unknown,-48.100862,1,1000,full
903cb3b16ed3,AP-6ed3,Team Truminds,Truminds GGN GFloor,edgecore_eap101,Shasta-AP-NOS Rel 1.5 build 39,126291,1.46,1,0,0,0,16.96,83.04,2,2,0,6,20,52,80,0,0,6,157,unknown,20,80,unknown,-24.100862,1,100,full
903cb3bb1cb0,AP1201,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4227366,48.93,1,0.022461,0.028809,0,18.47,81.53,2,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-28.100862,1,1000,full
903cb3bb1d0f,AP0701,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,334464,3.87,2,0.012696,0.016114,0,17.8,82.2,2,2,1,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-43.100862,1,1000,full
903cb3bb1d5f,AP0820,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4299835,49.77,2,0.000977,0,0,19.44,80.56,2,2,0,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-42.100862,1,1000,full
903cb3bb1d78,AP0703,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4659708,53.93,2,0.056153,0.046876,0.006836,19.78,80.22,2,2,2,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-71.100862,1,1000,full
903cb3bb1e31,AP01-STE1,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4311070,49.9,2,0.042969,0.060548,0.006836,25.5,74.5,2,2,1,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-40.100862,1,1000,full
903cb3bb1f21,AP01-Lobby,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4311074,49.9,2,0.008301,0.023926,0,25.0,75.0,2,2,1,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-43.100862,1,1000,full
903cb3bb1f76,AP0707,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4659683,53.93,1,0,0.018555,0,19.04,80.96,2,2,0,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-45.100862,1,1000,full
903cb3bb212e,AP1203,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4042228,46.79,1,0.00293,0.010254,0,19.96,80.04,2,2,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-50.100862,1,1000,full
903cb3bb23e0,AP0705,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4659697,53.93,1,0.029786,0.028321,0,21.24,78.76,2,2,2,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-60.100862,1,1000,full
903cb3bb242b,AP0201,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4120576,47.69,2,0.116213,0.084962,0.025391,21.79,78.21,2,2,6,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-82.100862,1,1000,full
903cb3bb2778,AP01-STE2,Temple Buildings,Temple Rochester,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 21,4311077,49.9,2,0.012207,0.023926,0,19.97,80.03,2,2,0,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-50.100862,1,1000,full
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,581733,6.73,3,0.095705,0.054688,0.005371,27.7,72.3,3,4,6,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-94.100862,1,1000,full
d077ce1fd438,WAP021-RM-224-225,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422033,4.88,4,0.237308,0.118654,0.034668,22.99,77.01,3,4,2,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-80.100862,1,1000,full
d077ce1fd448,WAP012-RM-133-135,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422039,4.88,2,0.039063,0.075685,0.015625,22.84,77.16,3,4,0,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-94.100862,1,1000,full
d077ce1fd458,WAP023-RM-231-233,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,578333,6.69,3,0.086915,0.054688,0.018555,24.56,75.44,3,4,2,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-51.100862,1,1000,full
