mac,name,org,venue,model,firmware,band,ssid,bssid,in_network,channel,rssi,last_seen_secs_ago
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5 GHz,96:3c:b3:9d:69:62,True,36,-77,103
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5 GHz,96:3c:b3:6a:e4:39,True,36,-85,220
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,5G DF,cc:cf:83:ea:bf:eb,False,149,-22,74
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Dogfood,ce:cf:83:ea:bf:eb,False,149,-22,103
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin Guest,92:3c:b3:6a:e4:39,True,36,-85,136
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin Guest,92:3c:b3:9d:69:62,True,36,-77,180
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin_PSK,90:3c:b3:6a:e4:39,True,36,-85,136
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,5g,Martin_PSK,90:3c:b3:9d:69:62,True,36,-76,260
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,2 GHz,96:3c:b3:6a:e4:38,True,11,-66,103
04b6be139cc8,WF-196Prod,Steve Martin,Steve's house,cig_wf196,Shasta-AP-NOS Rel 2.1 build 21,2g,2 GHz,96:3c:b3:9d:69:63,True,11,-62,491
