mac,name,org,venue,model,firmware,band,on-chan,channel,noise_floor,active_ms,busy_ms,busy_self_ms,busy_tx_ms,last_on_chan_secs_go,rrm_airtime_pct,agg_15m_active_ms,agg_15m_busy_ms,agg_15m_busy_self_ms,agg_15m_busy_tx_ms,agg_15m_num_samples
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,5g,False,36,-102,12,0,0,0,-1,1.4,12.2361,0.706681,0,0,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,5g,False,44,-102,14,5,0,0,-1,,11.9008,1.51544,0,0,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,5g,False,149,-103,14,0,0,0,-1,,12.7672,0.476532,0,0,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,5g,True,157,-103,32974,1840,1,335,-1,,32264.3,1778.53,2.95213,344.638,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,2g,False,1,-113,10,1,0,0,-1,25.1594,12.695,3.55084,0,0,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,2g,True,6,-113,31990,8360,1,665,-1,23.4596,32087.8,7878.72,2.4307,774.305,30
cccf83ca4d60,CT-1108-Outdoor-AP-1,Campus Trailhead,Outdoor,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 22,2g,False,11,-113,16,9,0,0,-1,,12.9238,4.19359,0,0,30
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,36,-108,13,1,0,0,-1,13.1578,210.811,33.979,0.100217,0.938888,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,True,44,-108,7037,1298,106,255,-1,13.8926,6886.07,1048.33,48.0755,138.778,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,149,-107,15,3,0,0,-1,25.883,15.6473,4.39963,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,5g,False,157,-106,15,6,0,0,-1,39.0119,15.6899,5.40491,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,False,1,-99,18,6,0,0,-1,39.4288,17.1519,6.20851,0,0,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,False,6,-99,17,9,0,0,-1,47.5256,17.3913,6.43451,0,1e-06,180
d077ce1fd430,WAP029-RM-309-311,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2g,True,11,-100,7184,3124,0,45,-1,26.7379,7084.28,2254.89,2.38947,62.0789,180
