mac,org,venue,ap_mac,ap_name,ap_model,ap_fw,connected,band,ssid,connected_time,rssi,avg_ack_rssi,rx_rate,tx_rate,rx_packets,rx_bytes,tx_packets,tx_bytes,vlan_id,rrm_state,rrm_bands,rrm_active,rrm_pps,rrm_upsteer_btm_total,rrm_upsteer_btm_success,rrm_upsteer_btm_fail,rrm_upsteer_legacy_total,rrm_upsteer_legacy_success,rrm_upsteer_legacy_fail,rrm_sticky_btm_total,rrm_sticky_btm_success,rrm_sticky_btm_fail,rrm_sticky_legacy_total,rrm_sticky_legacy_success,rrm_sticky_legacy_fail,rrm_downsteer_btm_total,rrm_downsteer_btm_success,rrm_downsteer_btm_fail,rrm_downsteer_legacy_total,rrm_downsteer_legacy_success,rrm_downsteer_legacy_fail,rrm_cap_wnm,rrm_cap_active,rrm_cap_passive,rrm_cap_table,rrm_cap_link,rrm_cap_stats
f0:9f:c2:02:5c:eb,RohdeCorp Labs,Home,04b6be139e08,Basement,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,Shasta,1394,-31,-28,300.0,300.0,288126,36750788,755587,1130761557,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
f0:35:75:b0:a7:4e,Intello Labs,Casting Simulation,04b6be139f08,Intello-HQ-WF196,cig_wf196,Shasta-AP-NOS Rel 2.1 build 17,True,5G,Shasta Casting,2044,-50,-46,400.0,360.0,1181,169103,752,609977,D-3001,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
72:e2:88:27:fe:4a,Cradlepoint Labs,Lab,14448f1fbdd6,CradlepointEAP102,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,True,5G,Shasta-EAP102,2252292,-36,-35,400.0,400.0,485178,68797692,536762,528800617,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
9e:f1:60:e3:bc:97,TekSecute Labs,CJ Lab,24fe9a0f5c59,CyberTANceilingAP,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,True,5G,127.0.0.1,623,-60,-46,72.2,43.3,40,3419,14,1869,,CAN_STEER,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
82:58:af:73:e4:f5,DevRev,DevRev HQ,903cb32d2e37,EAP101-conf4,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,devrev,352,-87,-85,36.0,12.0,1199,381274,3436,3265858,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:78:17:8a:8f:60,DevRev,DevRev HQ,903cb32d2e37,EAP101-conf4,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,devrev,160,-88,-75,0.0,12.0,2,338,6,905,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:78:17:8a:8f:60,DevRev,DevRev HQ,903cb3529ee4,EAP101-leads-room,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,devrev,72,-86,-87,72.0,72.0,1671,558120,1534,740804,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
a0:78:17:8a:8f:60,DevRev,DevRev HQ,d4babaa153a0,WF196-conf1,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,True,5G,devrev,210,-72,-85,0.0,12.0,6,668,4,1248,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
be:64:3e:46:2d:3d,Tims Lab,Tim C Lab,903cb32d351c,LabEAP101A,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,TestShasta,6480,-42,-42,115.6,200.0,200719,130342576,355827,425742327,,CAN_STEER,2,True,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,True,True
ca:d7:78:b2:9e:16,DevRev,DevRev HQ,903cb3529ee4,EAP101-leads-room,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,True,5G,devrev,17304,-48,-52,650.0,433.3,9094,2422719,15542,11562967,,N/A,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
