mac,name,org,venue,model,firmware,band,ssid,bssid,in_network,channel,rssi,last_seen_secs_ago
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,BOO2U,82:da:c2:25:ed:e5,False,11,-85,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,BOO2U,82:cb:51:66:b6:a1,False,1,-88,1468
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,Dash-9683,7c:0c:f6:0a:a4:0d,False,1,-89,6118
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,SkyNet,3c:b7:4b:07:ed:9b,False,6,-84,389
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,home,ac:db:48:96:13:47,False,6,-87,352
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,internet,34:8f:27:22:f3:f8,False,11,-54,54
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,internet,b4:79:c8:54:2e:90,False,11,-34,389
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,internet-6,b4:79:c8:54:2e:91,False,11,-34,389
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,internet-shasta,d4:ba:ba:a1:3b:64,True,6,-48,54
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,ba:db:48:96:13:47,False,6,-87,166
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,2c:ab:33:2f:08:b5,False,6,-61,166
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,82:da:c2:25:ed:e0,False,11,-86,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,82:da:c2:25:ed:e2,False,11,-85,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,82:da:c2:25:ed:e3,False,11,-86,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,4a:4b:d4:55:c1:0d,False,1,-80,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,4a:4b:d4:55:c1:0f,False,1,-80,203
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,a6:db:48:96:13:47,False,6,-85,352
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,3c:b7:4b:07:ed:9e,False,6,-84,352
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,b6:db:48:96:13:47,False,6,-87,352
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,4a:4b:d4:55:c1:09,False,1,-79,352
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,ae:db:48:96:13:47,False,6,-87,538
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,null,3c:b7:4b:07:ed:a0,False,6,-84,1431
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,sidman4,4a:4b:d4:55:c1:0c,False,1,-80,203
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,6.1.1-Legacy-Devices,84:18:3a:32:13:dc,False,149,-12,490
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,CAPPORT,dc:ae:eb:82:50:b6,False,60,-91,304
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,CBCI-9879,1c:9d:72:67:98:7e,False,36,-82,453
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,DIRECT-FF-HP OfficeJet Pro 9010,06:0e:3c:7a:73:ff,False,44,-88,78
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,DIRECT-roku-994-1FF787,da:31:34:07:a5:b5,False,36,-69,3651
