mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,18248,0.21,2,0.123049,0.099611,0.020996,16.03,83.97,1,4,0,1,20,60,40,33,80,auto,auto,33,20,40,80,-8.808214,1,1000,full
04b6be139968,CedHomeLab-WF196,Intello Labs,Default Venue,cig_wf196,Shasta-AP-NOS Rel 1.7 build 3,2822259,32.67,1,0,0,0,16.37,83.63,1,0,0,0,0,0,0,0,0,auto,auto,1,20,40,80,8.191786,1,100,full
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,16445,0.19,2,0.066896,0.043458,0.005859,16.13,83.87,2,2,0,1,20,44,40,0,0,auto,auto,1,20,40,40,-4.808214,1,1000,full
04b6be139e08,Basement,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,27255,0.32,3,0.02002,0.038575,0,16.0,84.0,1,3,1,6,20,100,40,1,160,auto,auto,1,20,40,160,-13.808214,1,1000,full
04b6be139f08,Intello-HQ-WF196,Intello Labs,Casting Simulation,cig_wf196,Shasta-AP-NOS Rel 2.1 build 17,5927120,68.6,2,0.039063,0.019532,0.000488,16.29,83.71,1,2,1,6,20,44,40,0,0,auto,auto,1,20,40,80,-19.808214,1,1000,full
04b6be13a028,LabWF196,Tims Lab,Tim C Lab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,27243,0.32,1,0,0.009766,0,16.16,83.84,1,3,0,11,20,116,40,1,80,auto,auto,1,20,40,80,-1.808214,1,2500,full
14448f1fbdd6,CradlepointEAP102,Cradlepoint Labs,Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,2832228,32.78,20,0.825208,0.694347,0.709483,47.97,52.03,1,2,1,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-43.808214,1,1000,full
14448f1fbe26,LabEAP102,Tims Lab,Tim C Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,27244,0.32,2,0.039063,0.052735,0.007813,19.96,80.04,1,2,0,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-5.808214,1,1000,full
14448f1fbece,Ceiling AP,Allbridge Labs,Koch's Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,22489,0.26,2,0.032715,0.030274,0,20.1,79.9,1,2,0,1,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-49.808214,1,1000,full
14448f1fc002,EAP102,FiberNet Captial Labs,FNC Labs 1,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,19484,0.23,2,0.054688,0.089845,0.085451,20.18,79.82,2,6,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-46.808214,1,1000,full
24fe9a0f5be9,FranzenLabCyberTAN,AT_T Franzen Labs,Default Venue,cybertan_eww631-a1,OpenWrt 21.02-SNAPSHOT r16399+144-c67509efd7 / TIP-v2.11.0 v2.11.0-rc3-bb5d3ecd,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,auto,auto,unknown,20,40,unknown,-1,-1,-1,-1
24fe9a0f5c59,CyberTANceilingAP,TekSecute Labs,CJ Lab,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,29650,0.34,4,0.163577,0.158206,0.16846,44.61,55.39,1,3,1,0,0,36,80,0,0,unknown,auto,unknown,unknown,80,unknown,-15.808214,1,1000,full
24fe9a0f60c1,CyberTANwalljack,TekSecute Labs,CJ Lab,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 22,29680,0.34,3,0.229984,0.222171,0.187503,46.38,53.62,1,3,0,0,0,149,80,0,0,unknown,auto,unknown,unknown,80,unknown,-46.808214,1,1000,full
902d77217620,Core Switch,RohdeCorp Labs,Rohde Cabin,edgecore_ecs4150,3.2.03r.234,62959,0.73,-1,0.002802734263241291,0.002602539025247097,0.0026660156436264515,53.91,46.09,54,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-39.808214,-1,-1,-1
903cb32d2e37,EAP101-conf4,DevRev,DevRev HQ,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,130944,1.52,2,0,0,0,18.52,81.48,1,4,3,11,20,36,80,0,0,auto,36,unknown,20,80,unknown,-27.808214,1,1000,full
903cb32d303f,ElauwitEAP101,Elauwit Connection Labs,Elauwit Lab,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,27874,0.32,1,0,0,0,17.97,82.03,1,2,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-36.808214,1,1000,full
903cb32d30ee,LabEAP101B,Tims Lab,Tim C Lab,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,27286,0.32,1,0.073243,0.016114,0.004883,18.02,81.98,2,2,0,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-47.808214,1,1000,full
903cb32d351c,LabEAP101A,Tims Lab,Tim C Lab,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,27293,0.32,1,0.038575,0.040528,0,18.0,82.0,2,2,1,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-55.808214,1,1000,full
903cb3529ee4,EAP101-leads-room,DevRev,DevRev HQ,edgecore_eap101,Shasta-AP-NOS Rel 2.2 build 22,130977,1.52,2,0.007813,0.024414,0,18.66,81.34,1,4,8,11,20,36,80,0,0,auto,36,unknown,20,80,unknown,-61.808214,1,1000,full
903cb3b16de8,Binny AP,Team Truminds,Binny Home,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 22,411008,4.76,1,0.016602,0.035645,0,21.67,78.33,2,6,1,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-52.808214,1,1000,full
903cb3bb1e7c,Manish Home AP,unknown,Manish Home,edgecore_eap101,Shasta-AP-NOS Rel 1.5 build 39,346819,4.01,1,0.032715,0.021485,0,17.16,82.84,2,2,4,11,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-80.808214,1,100,full
903cb3bb26ba,Office-26ba,Truminds,Lab,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 17,131994,1.53,1,0,0,0,17.72,82.28,3,4,1,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-34.808214,1,1000,full
b46ad439c5c0,CradlepointECS415028P,Cradlepoint Labs,Default Venue,edgecore_ecs4150,3.2.03r.234,2832365,32.78,-1,0.0013720702845603228,0.0019091797294095159,0.00179687503259629,51.44,48.56,28,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-75.808214,-1,-1,-1
cccf83eabd48,LabWF186W,Tims Lab,Tim C Lab,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,27271,0.32,5,0.252445,0.223636,0.235355,48.93,51.07,1,2,0,6,20,52,40,0,0,auto,auto,unknown,20,40,unknown,-37.808214,1,1000,full
cccf83eabdd8,TestWF186W,Single Digits Labs,SDLab,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,16492,0.19,7,0.129397,0.175784,0.222171,49.16,50.84,2,2,0,11,20,116,40,0,0,auto,auto,unknown,20,40,unknown,-60.808214,1,1000,full
cccf83eac030,LabWF186H,Tims Lab,Tim C Lab,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,27291,0.32,8,0.332525,0.272953,0.268559,49.04,50.96,1,2,0,11,20,52,40,0,0,auto,auto,unknown,20,40,unknown,-57.808214,1,1000,full
d077cebd6488,ECS4125-LabSwitch,Single Digits Labs,SDLab,edgecore_ecs4125,2.9.9.241,7196265,83.29,-1,0.030717773362994194,0.0325927734375,0.03270507976412773,19.11,80.89,10,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-61.808214,-1,-1,-1
d077cebd6508,SW6-LAB,SNA Labs,Alan's Home Office,edgecore_ecs4125,2.9.9.241,2795602,32.36,-1,0.028764648362994194,0.030742187052965164,0.03147949278354645,17.29,82.71,10,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-88.808214,-1,-1,-1
d4babaa13b20,StargentWF196,Stargent Labs,Stargent Demo,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,26115,0.3,2,0.066896,0.036622,0.005859,16.01,83.99,1,2,0,1,20,157,40,0,0,auto,auto,1,20,40,80,-72.808214,1,1000,full
d4babaa13b60,AlanAP2-Office,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,18314,0.21,2,0.172854,0.043458,0.010254,16.34,83.66,1,4,3,6,20,116,40,1,80,auto,auto,1,20,40,80,-71.808214,1,2500,full
d4babaa13d3e,Tower-3 AP,Purva Skydale,Default Venue,cig_wf188n,Shasta-AP-NOS Rel 2.1 build 22,411051,4.76,1,0,0,0,36.81,63.19,1,0,0,0,0,0,0,0,0,auto,36,unknown,20,40,unknown,-94.808214,1,1000,full
d4babaa15220,Bonus Room,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,1483,0.02,2,0.007324,0.030762,0.032715,15.82,84.18,1,3,0,6,20,60,40,1,160,auto,auto,1,20,40,160,-100.808214,1,1000,full
d4babaa152c0,WF196-desk4,DevRev,DevRev HQ,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,131031,1.52,2,0.078126,0.062989,0.016602,16.52,83.48,1,5,4,6,20,36,80,1,160,auto,36,1,20,80,160,-111.808214,1,1000,full
d4babaa153a0,WF196-conf1,DevRev,DevRev HQ,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,130989,1.52,3,0.027344,0.044434,0,16.83,83.17,1,5,9,11,20,36,80,1,160,auto,36,1,20,80,160,-69.808214,1,1000,full
d4babaa15460,WF196-desk8,DevRev,DevRev HQ,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,131015,1.52,2,0.021973,0.043458,0,16.37,83.63,1,5,1,6,20,36,80,1,160,auto,36,1,20,80,160,-95.808214,1,1000,full
d4babaa15600,WF196-conf2,DevRev,DevRev HQ,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,131030,1.52,2,0.05127,0.063966,0.012696,16.71,83.29,1,5,4,6,20,36,80,1,160,auto,36,1,20,80,160,-109.808214,1,1000,full
d4babaa175b0,Rob's Office,RohdeCorp Labs,Home,cig_wf186w,Shasta-AP-NOS Rel 2.2 build 22,1548,0.02,4,0.165042,0.235355,0.257328,46.54,53.46,1,2,0,6,20,52,40,0,0,auto,auto,unknown,20,40,unknown,-113.808214,1,1000,full
e001a63fb6ed,Wallplate,Allbridge Labs,Koch's Lab,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,22525,0.26,3,0.213382,0.187991,0.182132,45.33,54.67,4,2,0,6,20,124,40,0,0,auto,auto,unknown,20,40,unknown,-91.808214,1,1000,full
e001a63fb8e5,CedHomeLab-EAP104,Intello Labs,Charles Home Lab,edgecore_eap104,Shasta-AP-NOS Rel 2.1 build 22,2822343,32.67,3,0.243656,0.224125,0.187015,88.44,11.56,4,4,0,11,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-82.808214,1,100,full
e49d731c08e6,Bedroom,RohdeCorp Labs,Home,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,27329,0.32,5,0.322759,0.252445,0.230472,45.02,54.98,2,2,0,6,20,100,40,0,0,auto,auto,unknown,20,40,unknown,-99.808214,1,1000,full
e49d731c0a75,Truminds-HYD-Hall,Truminds Hyderabad,Default Venue,edgecore_eap104,Shasta-AP-NOS Rel 2.1 build 17,124415,1.44,4,0.09131,0.132815,0.1626,43.47,56.53,1,2,2,1,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-129.808214,1,1000,full
e49d731c0b6a,EAP104NEW,Elauwit Connection Labs,Elauwit Lab,edgecore_eap104,Shasta-AP-NOS Rel 2.2 build 22,27931,0.32,4,0.297368,0.307622,0.248539,46.28,53.72,1,2,0,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-101.808214,1,1000,full
f40b9fd09506,CradlepointWF188,Cradlepoint Labs,Default Venue,cig_wf188n,Shasta-AP-NOS Rel 2.1 build 21,2832299,32.78,2,0.034668,0.053712,0.016114,42.59,57.41,1,2,1,11,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-114.808214,1,1000,full
