mac,name,org,venue,model,firmware,band,on-chan,channel,noise_floor,active_ms,busy_ms,busy_self_ms,busy_tx_ms,last_on_chan_secs_go,rrm_airtime_pct,agg_15m_active_ms,agg_15m_busy_ms,agg_15m_busy_self_ms,agg_15m_busy_tx_ms,agg_15m_num_samples
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,True,60,-109,12542,35,0,31,-1,0,12405.5,36.1039,0.000385,31.3284,180
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,True,1,-106,15000,931,0,41,-1,5,15092.4,937.295,0.19748,41.0036,180
04b6be139908,AlanAP1-Garage,SNA Labs,Alan's Home Office,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,11,-105,17,2,0,0,-1,16.9308,17.0754,1.64548,0,0,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,False,36,-110,15,2,0,0,-1,15.4754,15.4655,2.00378,0,0,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,True,44,-109,12072,1541,0,57,-1,7.99989,12341.2,1378.51,0.636827,56.6261,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,False,149,-110,16,2,0,0,-1,13.3588,15.6866,1.72801,0,0,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,False,157,-108,12,2,0,0,-1,18.0743,14.9206,2.679,0,0,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,True,1,-104,12236,5932,3,381,-1,43.8926,12091.8,5611.22,4.0977,372.887,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,6,-101,17,9,0,0,-1,54.2867,16.9882,9.27184,0,0,180
04b6be139bc8,SD Lab WF-196 AP,Single Digits Labs,SDLab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,11,-102,18,9,0,0,-1,52.0036,16.677,7.76184,0,0,180
04b6be139e08,Basement,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,True,100,-108,12485,906,151,471,-1,2,12406.4,593.11,76.7851,228.685,180
04b6be139e08,Basement,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,1,-94,16,10,0,0,-1,63.1686,17.0877,7.19015,0,0,180
04b6be139e08,Basement,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,True,6,-106,14994,2149,0,20,-1,18.0001,15064.4,2306.85,0.092418,23.357,180
04b6be139e08,Basement,RohdeCorp Labs,Home,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,11,-105,16,4,0,0,-1,37.527,17.4655,5.80198,0,0,180
04b6be13a028,LabWF196,Tims Lab,Tim C Lab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,5g,True,116,-110,12501,269,0,48,-1,3,12408,262.503,0.026883,47.8404,180
04b6be13a028,LabWF196,Tims Lab,Tim C Lab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,1,-103,17,5,0,0,-1,32.541,17.2409,5.82224,0,0,180
04b6be13a028,LabWF196,Tims Lab,Tim C Lab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,False,6,-101,17,3,0,0,-1,22.9311,17.1432,5.1012,0,0,180
04b6be13a028,LabWF196,Tims Lab,Tim C Lab,cig_wf196,Shasta-AP-NOS Rel 2.2 build 22,2g,True,11,-101,14995,3023,1,354,-1,25,15026.3,3241.48,0.930287,343.24,180
14448f1fbe26,LabEAP102,Tims Lab,Tim C Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,5g,False,36,-107,14,4,0,0,-1,31.8236,15.5467,5.3466,0,0,180
14448f1fbe26,LabEAP102,Tims Lab,Tim C Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,5g,False,44,-106,16,3,0,0,-1,22.0124,15.8743,4.01771,0,0,180
14448f1fbe26,LabEAP102,Tims Lab,Tim C Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,5g,True,149,-105,7064,168,0,25,-1,2,7079.12,171.893,0.013671,25.1552,180
14448f1fbe26,LabEAP102,Tims Lab,Tim C Lab,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 22,5g,False,157,-105,15,4,0,0,-1,25.356,15.7769,4.04946,0,0,180
